place_id,gas_type,price,longitude,latitude,date
3401,regular,23.27,-97.74451,18.89199,2026-05-22
3401,premium,28.29,-97.74451,18.89199,2026-05-22
3397,regular,23.9,-98.93965,19.87881,2026-05-22
3397,premium,28.29,-98.93965,19.87881,2026-05-22
3397,diesel,26.99,-98.93965,19.87881,2026-05-22
3291,regular,23.97,-103.5403,20.72926,2026-05-22
3291,premium,29.27,-103.5403,20.72926,2026-05-22
3291,diesel,26.97,-103.5403,20.72926,2026-05-22
3601,regular,24,-102.2919,18.36585,2026-05-22
3601,premium,27.95,-102.2919,18.36585,2026-05-22
3601,diesel,28,-102.2919,18.36585,2026-05-22
3567,regular,23.89,-99.19093,19.61072,2026-05-22
3567,premium,28.89,-99.19093,19.61072,2026-05-22
3567,diesel,28.79,-99.19093,19.61072,2026-05-22
3538,regular,24.93,-87.71854,20.50853,2026-05-22
3538,diesel,28.18,-87.71854,20.50853,2026-05-22
3398,regular,23.99,-88.30573,18.49731,2026-05-22
3398,premium,27.98,-88.30573,18.49731,2026-05-22
3398,diesel,28.28,-88.30573,18.49731,2026-05-22
3249,regular,24.94,-87.06979,20.66055,2026-05-22
3249,premium,28.73,-87.06979,20.66055,2026-05-22
3588,regular,24.93,-86.82677,21.13387,2026-05-22
3588,premium,28.83,-86.82677,21.13387,2026-05-22
3293,regular,24.94,-87.07983,20.65759,2026-05-22
3293,premium,28.73,-87.07983,20.65759,2026-05-22
3293,diesel,28.19,-87.07983,20.65759,2026-05-22
3442,regular,24.94,-87.45746,20.21315,2026-05-22
3442,premium,28.73,-87.45746,20.21315,2026-05-22
3442,diesel,28.18,-87.45746,20.21315,2026-05-22
3363,regular,23.99,-101.3294,20.78841,2026-05-22
3363,premium,29.99,-101.3294,20.78841,2026-05-22
3363,diesel,28,-101.3294,20.78841,2026-05-22
3176,regular,23.99,-106.4099,23.23355,2026-05-22
3176,premium,28.79,-106.4099,23.23355,2026-05-22
3678,regular,23.99,-106.3879,23.25292,2026-05-22
3678,premium,28.79,-106.3879,23.25292,2026-05-22
3622,regular,23.99,-99.87447,19.7869,2026-05-22
3622,premium,28.69,-99.87447,19.7869,2026-05-22
3622,diesel,27,-99.87447,19.7869,2026-05-22
3552,regular,23.8,-99.9647,19.70424,2026-05-22
3552,premium,27.8,-99.9647,19.70424,2026-05-22
3552,diesel,26.99,-99.9647,19.70424,2026-05-22
3190,regular,23.99,-101.2601,19.98488,2026-05-22
3190,premium,28.99,-101.2601,19.98488,2026-05-22
3190,diesel,26.99,-101.2601,19.98488,2026-05-22
3187,diesel,26.99,-103.2852,20.51317,2026-05-22
3187,regular,23.99,-103.2852,20.51317,2026-05-22
3187,premium,29.99,-103.2852,20.51317,2026-05-22
3596,regular,24.49,-106.0852,28.63609,2026-05-22
3596,premium,29.29,-106.0852,28.63609,2026-05-22
3340,premium,27.5,-103.3621,20.53885,2026-05-22
3340,regular,23.99,-103.3621,20.53885,2026-05-22
3237,regular,23.99,-103.3195,20.7005,2026-05-22
3237,premium,29.49,-103.3195,20.7005,2026-05-22
3297,regular,23.19,-103.413,20.63475,2026-05-22
3297,premium,27.99,-103.413,20.63475,2026-05-22
3226,regular,23.99,-103.3204,20.71417,2026-05-22
3226,premium,26.99,-103.3204,20.71417,2026-05-22
3226,diesel,26.09,-103.3204,20.71417,2026-05-22
3260,regular,23.99,-103.2943,20.67222,2026-05-22
3260,premium,29.69,-103.2943,20.67222,2026-05-22
3260,diesel,27.49,-103.2943,20.67222,2026-05-22
11135,regular,23.99,-98.88785,19.53498,2026-05-22
